,FAQ,Answer
1,"[회원 가입 및 로그인]
로그인 계정(아이디(ID), 패스워드(Password))을 잊으셨나요?",홈>로그인>ID 및 PW 찾기 를 이용해주세요.
2,"[회원 가입 및 로그인]
회원 탈퇴를 하고 싶어요","로그인 후, 홈>My Page>회원 탈퇴 메뉴를 이용해 주세요."
3,"[회원 가입 및 로그인]
회원 탈퇴 후, 재가입을 하고 싶어요","회원 탈퇴를 하신후 재가입을 원하신다면, 탈퇴한 ID는 사용 불가합니다.
기존과 다른 ID로 회원가입을 진행해 주세요."
4,"[주문 / 결제 / 배송]
주문 후 배송지 변경을 하고 싶어요","배송지 변경은 My Page>주문배송조회>주문상세 에서 변경 가능하며, 자세한 내용은 아래와 같습니다.
- 변경 가능
  : 주문 상태가 '결제 완료' 인 경우
- 변경 불가
  : 주문 상태가 '배송중' 또는 '배송 완료' 인 경우"
5,"[주문 / 결제 / 배송]
비회원도 주문이 가능한가요?","네, 비회원으로도 주문 가능합니다.
다만 비회원 주문시 쿠폰이용, 일부 상품 할인, 행사 적용, 이벤트 참여 등의 회원 혜택이 제한됩니다."
6,"[취소 / 교환 / 환불]
주문 취소시, 쿠폰도 환불되나요?","결제 완료 상태인 고객님의 주문 취소시, 적용된 쿠폰은 모두 복원 됩니다.
하지만 사용기한이 지난 쿠폰의 경우에는 쿠폰 재발행은 불가합니다."
7,"[취소 / 교환 / 환불]
카드 환불은 언제 되나요?",고객님의 카드 환불은 카드사의 확인이 영업일 기준 3~5일 정도 소요됩니다.
8,"[취소 / 교환 / 환불]
주문을 취소하고 싶어요","주문 취소는 '결제 완료' 단계의 상품만 가능합니다.
이미 상품이 '배송중'이거나 '배송 완료'의 경우에는 수령 후 교환 및 반품신청을 해주시기 바랍니다."
9,"[취소 / 교환 / 환불]
인터넷으로 주문한 상품은 매장에서 교환 및 환불이 되나요?","온라인에서 주문한 상품은 출고된 매장에서만 교환 및 환불이 가능합니다.
예를들어, 주문하신 상품이 강남점에서 출고되었다면 강남점 매장에서만 가능합니다."
10,"[상품]
상품 및 서비스에 대한 문의는 어디서 해야하나요?",홈페이지내 고객센터 페이지에서 1:1 상담 또는 고객센터 대표 전화(02-xxxx-xxxx)로 연락주시면 친절하고 빠르게 답변드릴 수 있도록 하겠습니다.
11,"[상품]
상품 리뷰는 어디서 작성하나요?","상품리뷰는 주문하신 제품에 대해서만 작성 가능합니다.

※ 리뷰 작성 방법
1. 구매하신 상품 상세 페이지 하단 '리뷰 쓰기' 버튼 클릭
2. 홈>My Page>활동>상품리뷰 페이지
단, 상품과 관련없는 글이나 허위의 글을 작성시 관리자에 의해 삭제될 수 있습니다.

※ 리뷰 작성 혜택
첫 일반 리뷰 등록시 100포인트, 첫 포토 리뷰 등록시 300포인트
이 후 일반 리뷰 등록시 10포인트, 포토 리뷰 등록시 30포인트가 제공됩니다."
